"PID","COMMAND","%CPU","TIME","#TH","#WQ","#PORTS","MEM","PURG","CMPRS","PGRP","PPID","STATE","BOOSTS","%CPU_ME","%CPU_OTHRS","UID","FAULTS","COW","MSGSENT","MSGRECV","SYSBSD","SYSMACH","CSW","PAGEINS","IDLEW","POWER","INSTRS","CYCLES","USER","#MREGS","RPRVT","VPRVT","VSIZE","KPRVT","KSHRD"
"0*","kernel_task","17.3","05:03:01","470/8","0","0","4304K+","0B","0B","0","0","running","0[0]","0.00000","0.00000","0","28526","0","2147483647","1679094240+","0","0","2147483647","0","22444718+","0.0","219605506","379133992","root","N/A","N/A","N/A","N/A","N/A","N/A",""
"175*","WindowServer","13.1","03:40:55","20","5","4399-","647M-","49M-","229M-","175","1","sleeping","*0[1]","0.41846","0.00491","88","18710219+","58121","114065384+","79341273+","123714112+","292584015+","81603925+","23968+","465629+","13.5","351740204","313632214","_windowserver","N/A","N/A","N/A","N/A","N/A","N/A",""
"90835*","Safari","9.5","11:55.27","12","5","2204+","335M-","78M","210M-","90835","1","sleeping","*0[307911+]","0.05673","0.04595","501","19464631+","1653","6571527+","3212791+","23713036+","18937341+","6416024+","146988+","9325+","9.5","285317994","222630882","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"174*","syspolicyd","9.5","39:36.73","5","3","181-","26M-","48K","17M","174","1","sleeping","*0[1]","0.00000","0.22771","0","1267453","119","355519+","187211+","3376421+","1401463+","10820532+","228695","978","9.5","873662660","236860085","root","N/A","N/A","N/A","N/A","N/A","N/A",""
"4110*","Code","Helper","(Ren","8.6","03:00.85","23","1","258+","293M+","0B","162M-","4103","4103","sleeping","*0[5]","0.00000","0.00000","501","1023301+","1111","687470+","303823+","1146594+","2413732+","1186101+","13609+","1491+","8.6","313972245","201312012","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"90838*","com.apple.WebKit","7.9","01:10.56","13","6","158+","63M-","256K","32M+","90838","1","sleeping","*1489[73510]","0.00000","0.00000","501","501692+","164","950700+","542393+","3313943+","2682092+","1507324+","36123","4596+","8.1","151139448","151672597","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"4103*","Electron","7.7","01:03.49","32/1","3","480+","97M-","0B","46M-","4103","1","running","*0[310+]","0.00442","0.00815","501","424701+","714","1066776+","302022+","864185+","3157711+","774631+","14798+","250","7.7","391426787","185987108","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"25935*","loginwindow","6.8","09:10.83","7","5","601","32M","0B","19M+","25935","1","sleeping","*86[1228]","0.00169","0.16062","501","1429175+","572","281937+","220596+","1057505+","1037274+","1326700+","17738","37","6.8","242055690","158412491","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"54421*","com.apple.WebKit","6.8","00:19.92","14/1","3","115","300M+","0B","101M+","54421","1","running","*1+[27392+]","0.00000","0.00000","501","239611+","224","150237+","163090+","536900+","512785+","255209+","5629","1099+","7.1","159787192","134645078","aman","N/A","N/A","N/A","N/A","N/A","N/A",""
"58448*","top","6.8","00:00.24","2/1","0","32+","4205K+","0B","0B","57668","57716","running","*0[1]","0.00095","0.00000","0","4360+","296+","260121+","130050+","4951+","137357+","207+","24+","0","6.8","755847981","246615512","root","N/A","N/A","N/A","N/A","N/A","N/A",""
