

[2023-04-11T04:38:46.446Z]
Processes: 399 total, 3 running, 396 sleeping, 2284 threads 
2023/04/11 00:38:46
Load Avg: 3.48, 2.96, 4.35 
CPU usage: 18.18% user, 8.8% sys, 73.73% idle 
SharedLibs: 606M resident, 62M data, 186M linkedit.
MemRegions: 96412 total, 1108M resident, 128M private, 1062M shared.
PhysMem: 6270M used (1713M wired, 1355M compressor), 1361M unused.
VM: 146T vsize, 6955M framework vsize, 5834367(0) swapins, 6854315(0) swapouts.
Networks: packets: 33474667/32G in, 21269706/19G out.
Disks: 64559278/1566G read, 8218476/217G written.

PID    COMMAND          %CPU TIME     #TH #WQ #PORTS MEM   PURG CMPRS PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS COW   MSGSENT MSGRECV SYSBSD  SYSMACH CSW     PAGEINS IDLEW POWER INSTRS CYCLES USER #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
99115* PowerChime       0.0  00:04.89 6   1   358    11M   0B   7232K 99115 1     sleeping *0[1]      0.00000 0.00000    501 229934 189   46383   16881   105526  114906  123006  2818    49    0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
95189* parsecd          0.0  00:03.10 2   1   83     7505K 0B   3296K 95189 1     sleeping *0[13546]  0.00000 0.00000    501 40609  223   972     1110    24220   3330    28711   7124    7     0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
93769* zsh              0.0  00:00.65 1   0   22     3617K 0B   3360K 93769 12443 sleeping *0[1]      0.00000 0.00000    501 39119  16091 1412    700     92192   854     15573   1853    0     0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
88224* Messages         0.0  02:35.27 5   1   902    75M   0B   67M   88224 1     sleeping *31[3]     0.00000 0.00000    501 624245 704   76640   26202   168271  4521822 1153547 108303  23962 0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
87086* BiomeAgent       0.0  00:16.80 3   2   84     3905K 0B   1264K 87086 1     sleeping *0[4440]   0.00000 0.00000    501 150676 97    32698   34715   443257  91523   139098  5690    11    0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
86565* siriactionsd     0.0  00:04.33 3   2   143    8737K 0B   5216K 86565 1     sleeping *1[6]      0.00000 0.00000    501 54340  208   21883   11149   79253   85947   92569   6638    1     0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
84789* talagent         0.0  00:00.98 2   1   122    6449K 0B   6112K 84789 1     sleeping *0[1]      0.00000 0.00000    501 69735  119   6094    1840    9540    23211   26379   424     19    0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
83639* PerfPowerService 0.0  02:13.62 5   3   431    15M   256K 3008K 83639 1     sleeping *0[157143] 0.00000 0.00000    0   571821 648   1092319 845272  2300566 2454210 2166741 27725   168   0.0   0      0      root N/A    N/A   N/A   N/A   N/A   N/A  
80376* zsh              0.0  00:00.06 1   0   22     3377K 0B   3136K 80376 1     sleeping *0[1]      0.00000 0.00000    501 2318   1034  126     57      29379   207     223     26      0     0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
80169* chrome_crashpad_ 0.0  00:00.04 4   1   34     2305K 0B   2000K 80168 1     sleeping *0[1]      0.00000 0.00000    501 1991   53    52      19      588     186     457     305     0     0.0   0      0      aman N/A    N/A   N/A   N/A   N/A   N/A  
